date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:26:32	83696/83696	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/4/Computer%20Networks%20and%20Security.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/4/Computer%20Networks%20and%20Security.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:33	96090/96090	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/4/Data%20Structures%20Uisng%20C.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/4/Data%20Structures%20Uisng%20C.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:33	80085/80085	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/4/OOP%20with%20Java.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/4/OOP%20with%20Java.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:33	78349/78349	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/5/CBT.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/5/CBT.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:33	71598/71598	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/5/Elective%201%20-%20Cloud%20Computing.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/5/Elective%201%20-%20Cloud%20Computing.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:33	86140/86140	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/5/Elective-1-%20Software%20Engineering.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/5/Elective-1-%20Software%20Engineering.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:34	103891/103891	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/5/RDBMS.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/5/RDBMS.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:34	90547/90547	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/5/Web%20Programming.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/5/Web%20Programming.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:34	87298/87298	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Computer%20Hardware%20and%20Servicing.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Computer%20Hardware%20and%20Servicing.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
20:26:34	143280/143280	---M--	200	added ('OK')	application/pdf	date:Sun,%2028%20Jan%202024%2010:29:29%20GMT	https://gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Elective%20-2%20-%20Open%20Source%20Software.pdf	E:/clgorg/gptchromepet.co.in/sllabus/Computer%20Syllabus/6/Elective%20-2%20-%20Open%20Source%20Software.pdf	(from https://gptchromepet.co.in/government_polytechnic_college_in_chrompet_cse_dept_courses_details.html)
